id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
2373174,A Practical Introduction To Project Management,True,23,4.5,9,False,6,0,455.0,1280,2019,5,2019,5,5,825.0
1611170,Bitcoin & Steemit Accelerated Training For Newbies,True,1673,4.22222,9,False,105,0,455.0,1280,2018,3,2018,3,4,825.0
1623442,"How To Create, Maintain, and Monetize a YouTube Channel",True,88,4.44444,9,False,61,0,455.0,8640,2018,3,2018,6,4,8185.0
1987330,The Ultimate Commodity Channel Index Trading Strategy Course,True,194,4.27778,9,False,15,0,455.0,6400,2018,10,2019,3,4,5945.0
2329750,Develop an Employee Engagement Program,True,243,4.22222,9,False,20,0,0.0,7040,2019,4,2019,5,4,7040.0
2833296,CIPS Level 4 Diploma: Commercial Contracting (L4M3),True,40,4.22222,9,False,0,2,455.0,1600,2020,2,2020,2,4,1145.0
1855620,Finance Mastery,True,1598,4.33333,9,False,36,0,468.0,4160,2018,8,2019,2,5,3692.0
1995904,P.O.D. People Building a Profitable Print on Demand Business,True,49,4.5,9,False,16,0,455.0,1920,2018,10,2018,11,5,1465.0
317712,The Closing Contractor - Win More Business,True,452,4.16667,9,False,12,0,455.0,1280,2014,10,2014,10,4,825.0
390234,Using the Internet Securely,True,48,4.33333,9,False,10,0,455.0,1280,2015,1,2015,2,4,825.0
945302,How To Use LinkedIn Effectivly in Your Property Business,True,1784,4.05556,9,False,6,0,455.0,1280,2016,8,2016,9,4,825.0
448592,"SEO, keywords and ranking WordPress websites with FREE tools",True,2174,4.16667,9,False,23,0,455.0,1280,2015,3,2015,5,4,825.0
702896,Udemy Promotion Mastery and Marketing Secrets - Unofficial,True,533,4.77778,9,False,37,0,455.0,1920,2015,12,2015,12,5,1465.0
1734298,Cryptocurrency Investment in 2020,True,197,4.11111,9,False,23,0,455.0,8640,2018,6,2019,3,4,8185.0
1884698,30 Day Digital Agency,True,71,4.44444,9,False,8,0,455.0,8640,2018,8,2018,9,5,8185.0
1715092,Wordpress Essentials for Individuals/Business,True,1396,3.38889,9,False,8,0,455.0,8640,2018,5,2018,5,3,8185.0
753396,English Grammar: Punctuation Rules and Practices,True,34,3.5,9,False,10,0,455.0,1600,2016,2,2016,2,4,1145.0
573458,Engage Your Audience with Interactive Tools and Activities,True,702,4.44444,9,False,23,0,455.0,1280,2015,8,2015,10,5,825.0
772318,How to Start a Local Small Business,True,61,4.16667,9,False,60,0,455.0,6400,2016,2,2017,5,4,5945.0
1323430,"A Primer on Contracts - Reading, Risks, and Rewards",True,40,3.66667,9,False,9,0,455.0,3200,2017,8,2017,9,4,2745.0
2169626,How To Sell a Business,True,3441,4.22222,9,False,23,0,455.0,8640,2019,1,2019,2,4,8185.0
2299572,Preparing For Your Podcast Launch,True,2407,3.61111,9,False,12,0,455.0,8640,2019,3,2019,4,4,8185.0
2518900,Fostering Inclusive Workplace Climates,True,29,4.44444,9,False,16,0,455.0,1920,2019,8,2019,9,4,1465.0
1990012,How to recruit volunteers,True,32,4.0,9,False,9,0,455.0,3200,2018,10,2019,4,4,2745.0
2537708,Fiverr Reseller Academy,True,777,4.44444,9,False,9,0,455.0,8640,2019,9,2019,9,4,8185.0
2308576,Public Speaking Without Fear Diploma,True,1903,4.11111,9,False,69,0,455.0,8640,2019,4,2019,4,4,8185.0
2274879,CDCS ULTIMATE TEST GUIDE TO SUCCESS  955 Q WITH EXPLANATION,True,60,3.5,9,False,0,5,455.0,3200,2019,3,2019,3,3,2745.0
2173322,Analyzing Risk (PMBOK6 Aligned),True,6051,4.5,9,False,27,0,455.0,6400,2019,1,2019,2,4,5945.0
413186,Building Insanely Great Products,True,45,3.61111,9,False,17,0,0.0,12480,2015,2,2015,8,4,12480.0
420240,How to Avoid Small Business Startup Mistakes,True,1141,4.11111,9,False,30,0,455.0,1280,2015,2,2015,2,4,825.0
1915276,How to Write a Business Plan - Do What You Love!,True,29,4.22222,9,False,15,0,455.0,1600,2018,9,2018,11,4,1145.0
2094878,Financial Accounting for Beginners,True,15,4.44444,9,False,9,0,455.0,1280,2018,12,2019,2,4,825.0
2053399,Persuasive body language for business,True,65,4.94444,9,False,35,0,455.0,5760,2018,11,2019,4,5,5305.0
2098362,OneNote Atty Law e-Trial Digital Electronic Trial Notebook,True,64,4.0,9,False,5,0,455.0,2240,2018,12,2018,12,4,1785.0
2621920,Petroleum Refinery: Simplified,True,54,4.33333,9,False,44,0,455.0,6400,2019,10,2019,11,4,5945.0
2572336,Production of Crude Oil,True,52,4.44444,9,False,28,0,455.0,3200,2019,9,2019,10,4,2745.0
2730616,PMP® Exam Prep - PMBOK 6th Ed. - 400 Questions,True,879,3.77778,9,False,0,4,455.0,1280,2019,12,2020,2,4,825.0
2531912,How to Focus on Work As A Freelancer : Top Tips,True,3348,3.5,9,False,26,0,455.0,8640,2019,8,2019,8,3,8185.0
2457596,"Social Start-up box,  how to start a non profit business",True,71,4.77778,9,False,12,0,455.0,8640,2019,7,2019,7,5,8185.0
3266692,Sales Training: 30 Responses to Handle 30 Sales Objections,True,77,4.83333,10,False,37,0,455.0,6400,2020,6,2020,7,5,5945.0
3207791,Calculate Productivity rate: Formwork in construction,True,350,4.22222,9,False,7,0,455.0,1280,2020,6,2020,6,5,825.0
2234228,eCommerce Analytics - Customer Segmentation,True,49,3.88889,9,False,10,0,455.0,1280,2019,2,2019,3,4,825.0
1312742,10 Biggest Mistakes When Searching for Government Grants,True,30,4.16667,9,False,12,0,0.0,1280,2017,8,2017,8,4,1280.0
2122758,An Intro to the Technical Processes of Project Management,True,31,4.5,9,False,9,0,455.0,3200,2019,1,2019,1,4,2745.0
